          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1856,                 3.3738,                 4.2663,                0.00762,                0.96316,                0.02949,                0.01036,                 3.2652,                 3.4365,                 4.1587,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.1898,                 3.4499,                 4.2626,                 0.0075,                0.94737,                0.03051,                0.01167,                 3.2656,                 3.4281,                 4.1579,             0.00013931,             0.00013931,             0.00013931
                      3,                 3.2582,                 3.4314,                 4.1997,                0.00729,                0.92105,                0.03847,                0.01161,                 3.2598,                 3.4079,                  4.156,             0.00021782,             0.00021782,             0.00021782
                      4,                  3.242,                 3.2452,                 4.1426,                0.00742,                0.93684,                0.03617,                0.01247,                 3.2466,                 3.4383,                 4.1496,             0.00029554,             0.00029554,             0.00029554
                      5,                 3.1183,                 3.2759,                 4.1034,                0.00737,                0.93158,                0.04016,                0.01509,                 3.2405,                 3.4054,                 4.1426,             0.00037248,             0.00037248,             0.00037248
                      6,                 3.0513,                 3.0888,                 4.0105,                0.00729,                0.92105,                0.04418,                0.01305,                 3.2275,                  3.415,                 4.1345,             0.00044862,             0.00044862,             0.00044862
                      7,                 3.0059,                 3.0398,                 3.8957,                0.00771,                0.97368,                 0.0388,                0.01278,                 3.2677,                   3.43,                 4.1645,             0.00052396,             0.00052396,             0.00052396
                      8,                 3.1192,                 2.9428,                 3.8491,                0.00779,                0.98421,                0.12731,                0.03517,                 3.3871,                 3.5483,                 4.2623,             0.00059852,             0.00059852,             0.00059852
                      9,                 3.0278,                 2.8252,                 3.8216,                0.00762,                0.96316,                0.03647,                0.01064,                 3.6014,                 3.4043,                  4.535,             0.00067228,             0.00067228,             0.00067228
                     10,                 3.1207,                 3.0486,                  3.801,                0.03153,                0.34737,                 0.0383,                0.00743,                  3.552,                 22.567,                 8.0621,             0.00074525,             0.00074525,             0.00074525
                     11,                 2.8529,                 2.8923,                 3.6065,                 0.0098,                0.88947,                0.01968,                0.00637,                 2.9549,                 3.0354,                 4.1623,             0.00081743,             0.00081743,             0.00081743
                     12,                 2.8715,                 2.8469,                 3.6104,                0.16192,                0.06842,                 0.0465,                0.01415,                 2.5316,                 3.7199,                 5.2632,             0.00088882,             0.00088882,             0.00088882
                     13,                 2.9297,                 2.8697,                 3.5757,                0.02884,                0.25789,                 0.0206,                0.00848,                 2.5817,                 3.5001,                 6.9672,             0.00095941,             0.00095941,             0.00095941
                     14,                 2.6944,                 2.7715,                  3.472,                0.02069,                0.58421,                0.03159,                0.01041,                 3.6051,                    inf,                  78.76,              0.0010292,              0.0010292,              0.0010292
                     15,                 2.7012,                 2.7996,                 3.3658,                0.06867,                0.05789,                 0.0226,                0.00694,                  3.275,                 4.9282,                 14.087,              0.0010982,              0.0010982,              0.0010982
                     16,                 2.7845,                 2.7963,                 3.4394,                0.02346,                0.78421,                0.02274,                0.00972,                 3.3624,                    inf,                 137.27,              0.0011664,              0.0011664,              0.0011664
                     17,                 2.6509,                 2.7436,                 3.2988,                0.02356,                0.77895,                0.02889,                0.01307,                 3.5985,                    inf,                 125.97,              0.0012339,              0.0012339,              0.0012339
                     18,                 2.7824,                 2.7225,                  3.266,                0.04637,                0.42632,                0.03197,                0.00915,                 3.3671,                    inf,                  17.49,              0.0013005,              0.0013005,              0.0013005
