          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3017,                  1.182,                 1.7768,                0.92048,                0.85294,                0.94017,                 0.7296,                0.98575,                0.93841,                  1.394,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.2763,                 1.2051,                 1.7901,                0.77244,                0.84737,                0.84679,                0.52822,                 1.1505,                 1.3313,                 1.6517,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.2762,                 1.1695,                 1.7649,                0.89445,                0.88421,                0.95333,                0.79241,                0.75096,                0.83279,                 1.2806,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.2859,                 1.1297,                 1.7801,                0.81301,                0.91534,                0.90897,                0.71911,                0.87938,                 1.0145,                 1.3518,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.2484,                 1.1631,                 1.7295,                0.74425,                0.88421,                0.81742,                0.57428,                0.98292,                 1.2507,                 1.4814,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.2464,                 1.1608,                 1.7464,                0.54197,                0.73684,                0.52307,                 0.3503,                 1.0769,                 1.8966,                 1.6337,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.2162,                 1.1025,                 1.7045,                0.90616,                0.81317,                0.93249,                0.73765,                0.83713,                0.84768,                 1.3308,               0.001604,               0.001604,               0.001604
                     42,                 1.1945,                 1.0614,                 1.6689,                0.83762,                0.92105,                 0.9516,                0.74363,                0.87098,                 0.8591,                 1.3405,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.1651,                 1.0687,                 1.6651,                0.90505,                0.90298,                0.95366,                 0.7554,                0.87961,                0.86571,                 1.3223,              0.0015842,              0.0015842,              0.0015842
                     44,                  1.177,                 1.0613,                 1.6627,                0.91271,                 0.9355,                0.95975,                0.73123,                0.89839,                0.77704,                 1.3691,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.1705,                 1.0374,                 1.6509,                0.85133,                0.93427,                 0.9443,                0.74662,                0.79223,                0.92585,                 1.3224,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.1318,                 1.0403,                 1.6355,                0.78269,                0.87368,                0.85711,                0.66935,                 0.8199,                 1.1411,                 1.3518,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.1654,                  1.038,                 1.6246,                0.78254,                 0.8144,                0.84449,                 0.6735,                0.75502,                 1.1076,                 1.2784,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.1227,                 1.0127,                  1.628,                0.85372,                0.92154,                0.91233,                0.68582,                0.87548,                0.97993,                 1.3692,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.1176,                0.96732,                 1.6087,                0.93678,                0.93589,                 0.9618,                0.76709,                0.76279,                0.88105,                 1.2462,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.1163,                0.99476,                 1.6045,                0.80555,                0.87895,                0.88848,                0.69026,                0.83917,                  1.217,                 1.2873,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.0915,                0.98312,                 1.6011,                0.67002,                0.84737,                0.77305,                0.60108,                0.80351,                 1.2176,                 1.3283,               0.001505,               0.001505,               0.001505
                     52,                 1.0806,                0.96485,                 1.6004,                0.91402,                0.95115,                0.97912,                0.82493,                0.65977,                 0.7237,                 1.1811,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.0652,                0.96099,                 1.5671,                0.87643,                 0.9332,                0.95688,                0.83039,                0.62735,                0.79806,                 1.1074,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.0223,                0.91308,                 1.5232,                0.95147,                    0.9,                0.97363,                0.82522,                 0.6314,                0.65462,                 1.1526,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.0298,                0.92584,                 1.5292,                0.92962,                0.90377,                0.95396,                0.79376,                0.65445,                0.98052,                 1.1601,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.0214,                0.89649,                   1.54,                0.90159,                0.91614,                0.95947,                0.77948,                0.71567,                0.84448,                  1.236,              0.0014555,              0.0014555,              0.0014555
                     57,                0.96765,                0.87298,                 1.4976,                0.89403,                 0.8881,                0.95316,                0.76402,                0.77064,                0.80732,                 1.2788,              0.0014456,              0.0014456,              0.0014456
                     58,                0.99447,                0.87218,                 1.5179,                0.82772,                0.91034,                0.91455,                0.76128,                0.64876,                0.93453,                 1.1349,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.0436,                0.89676,                 1.5397,                0.79595,                0.87895,                0.89838,                 0.6912,                   0.86,                 1.2193,                 1.3112,              0.0014258,              0.0014258,              0.0014258
