,px,human,elephant,giraffe,unknown,all
594,0.5945945945945946,0.7547532383715561,0.9358336569875669,0.2231546145256237,0.7065284997635862,0.7065284997635862
595,0.5955955955955956,0.753297912404505,0.9355900522440421,0.21846515016527301,0.7058953673087709,0.7058953673087709
596,0.5965965965965966,0.7518647651081981,0.9350980150196593,0.2127284266804321,0.7050217265098158,0.7050217265098158
597,0.5975975975975976,0.7499152815893868,0.9347114662478812,0.21007952163228644,0.7049616372156944,0.7049616372156944
598,0.5985985985985985,0.7487016655930269,0.9342002464814264,0.20792061522399394,0.7031674457759873,0.7031674457759873
599,0.5995995995995996,0.7472449043247743,0.9340070158161237,0.2059339971417639,0.7009165117312716,0.7009165117312716
600,0.6006006006006006,0.7459126241251722,0.9337669961684884,0.19991068233514742,0.7005045639000208,0.7005045639000208
601,0.6016016016016016,0.744281515253601,0.9334116359532346,0.1943515416930469,0.7000923642067068,0.7000923642067068
602,0.6026026026026026,0.7424920986747486,0.9330524301548612,0.1905329379001611,0.6994847966133677,0.6994847966133677
603,0.6036036036036035,0.7401148172053731,0.9329443629277504,0.18648315126208323,0.6987209157805997,0.6987209157805997
604,0.6046046046046046,0.7385775184527069,0.9327997078646331,0.1813822851869007,0.697885497987363,0.697885497987363
605,0.6056056056056056,0.7376676242258358,0.9328592976191526,0.18016221646816255,0.6965974172032695,0.6965974172032695
606,0.6066066066066066,0.7353845573929274,0.9328375169531345,0.1774222327908382,0.6959194634233801,0.6959194634233801
607,0.6076076076076076,0.7341142176526374,0.9323205992381716,0.16955220621404227,0.6950166442140752,0.6950166442140752
608,0.6086086086086087,0.731793136444754,0.9318216341968896,0.16287763833095026,0.6944864456592172,0.6944864456592172
609,0.6096096096096096,0.7296502235963309,0.9313168311701309,0.15238026351541173,0.6946621342799002,0.6946621342799002
610,0.6106106106106106,0.7284378385812867,0.9309041401667884,0.1449938254108798,0.6948376618957236,0.6948376618957236
611,0.6116116116116116,0.7260204727945015,0.9302121057390034,0.13987293327322223,0.6936732341033187,0.6936732341033187
612,0.6126126126126126,0.7244953536465956,0.9292468041815564,0.13671237503562933,0.6929276245249343,0.6929276245249343
613,0.6136136136136137,0.7232845834916544,0.9289473697477547,0.13568913242092775,0.6931668748410013,0.6931668748410013
614,0.6146146146146146,0.7224579225385794,0.928904724533275,0.13466500428540193,0.6931785595218658,0.6931785595218658
615,0.6156156156156156,0.7206031259437513,0.9283612068313032,0.13264432589001318,0.6923263042952162,0.6923263042952162
616,0.6166166166166166,0.7185695809757255,0.9280936715408983,0.12883313559546686,0.6915887469799202,0.6915887469799202
617,0.6176176176176176,0.7176464915855209,0.9279549019107511,0.12298743131585171,0.6901311289497802,0.6901311289497802
618,0.6186186186186187,0.7159616156989622,0.9276571531755421,0.11998761629991866,0.6900580141692277,0.6900580141692277
619,0.6196196196196196,0.7133954989314284,0.9268301807809257,0.11885706098261363,0.6889472741367747,0.6889472741367747
620,0.6206206206206206,0.7118509332036886,0.9259590120740779,0.11772544444702021,0.6870625610417579,0.6870625610417579
621,0.6216216216216216,0.7107068079248128,0.9252978110749305,0.11712158173954215,0.6846625849571274,0.6846625849571274
622,0.6226226226226226,0.7087937575387856,0.9246770735365891,0.115023649104245,0.6829176111011004,0.6829176111011004
623,0.6236236236236237,0.706153550393934,0.9241545967781485,0.1076850619625312,0.6824187707765051,0.6824187707765051
624,0.6246246246246246,0.704727900876076,0.9236575990538963,0.10494592973378584,0.6820948158034319,0.6820948158034319
625,0.6256256256256256,0.7034663275555438,0.923387141540195,0.10340484001233823,0.6817707056844072,0.6817707056844072
626,0.6266266266266266,0.7019988646480397,0.922772357235224,0.09556567729671026,0.6812288251078504,0.6812288251078504
627,0.6276276276276276,0.7006728611348907,0.9226059017008693,0.09298151485376373,0.6803498519930424,0.6803498519930424
628,0.6286286286286287,0.6994710847677308,0.922394857230392,0.09105271619967334,0.6791607278587742,0.6791607278587742
629,0.6296296296296297,0.6977885232851534,0.9218277393051371,0.09003366254025044,0.6785732387553541,0.6785732387553541
630,0.6306306306306306,0.6965818060991809,0.921003183060835,0.08437446967612224,0.6773485922270109,0.6773485922270109
631,0.6316316316316316,0.6950345135200826,0.9201386562545275,0.08293139020006823,0.6757321716344697,0.6757321716344697
632,0.6326326326326326,0.6936330744500422,0.9195154128458051,0.08221308022380282,0.6753128065370421,0.6753128065370421
633,0.6336336336336337,0.6925409988708469,0.9190163752254439,0.07690190374261008,0.6748931828173459,0.6748931828173459
634,0.6346346346346347,0.6903397713615724,0.9178383951517802,0.0680394156054117,0.6714966458127123,0.6714966458127123
635,0.6356356356356356,0.6893474864827703,0.9170180458260994,0.06134010912103424,0.6706296767652316,0.6706296767652316
636,0.6366366366366366,0.6874648065796969,0.9162184835274236,0.053910415531643344,0.6694004425179382,0.6694004425179382
637,0.6376376376376376,0.6865129830911038,0.9152961278847656,0.05160756117651354,0.6686106875312096,0.6686106875312096
638,0.6386386386386387,0.6857429805872971,0.9147959588963299,0.04616692905817193,0.6657475874122617,0.6657475874122617
639,0.6396396396396397,0.6851726387315384,0.9137945813088608,0.043922514090859996,0.664724854123063,0.664724854123063
640,0.6406406406406406,0.683012270207545,0.9127988894481417,0.04215468815838264,0.6643082546263841,0.6643082546263841
641,0.6416416416416416,0.681271887499857,0.9115626856960558,0.042079991229870134,0.6638914011413961,0.6638914011413961
642,0.6426426426426426,0.6797565878598643,0.9111386137053232,0.042089089791973185,0.6619032171248385,0.6619032171248385
643,0.6436436436436437,0.6779096484842445,0.9105098659604169,0.04209805720520785,0.6576449514494223,0.6576449514494223
644,0.6446446446446447,0.6767436014560839,0.910008383402685,0.04210689628490087,0.6570706270166772,0.6570706270166772
645,0.6456456456456456,0.6756513506978201,0.9088113032573903,0.042115609766370625,0.6552752978176082,0.6552752978176082
646,0.6466466466466466,0.6740124731102801,0.9079772301603402,0.042124200307749285,0.6520944738551303,0.6520944738551303
647,0.6476476476476476,0.6725760798521396,0.9071959946424194,0.04213267049268637,0.6494290645554458,0.6494290645554458
648,0.6486486486486487,0.6712410145459757,0.9066668728120475,0.04215755374951345,0.6464633468047144,0.6464633468047144
649,0.6496496496496497,0.6701327308311958,0.9056936543991195,0.04198502267203406,0.6439029721611684,0.6439029721611684
650,0.6506506506506506,0.6684808465804017,0.9040455383053994,0.0414561093545928,0.6427337681578311,0.6427337681578311
