,px,human,elephant,giraffe,unknown,all
395,0.39539539539539537,0.8719594822915396,0.9577011270144589,0.7853716858795823,0.8394385018813849,0.8394385018813849
396,0.3963963963963964,0.8722716920823647,0.9577293499510019,0.7847662327894521,0.8392737475909686,0.8392737475909686
397,0.3973973973973974,0.8721753971383559,0.9577272881047608,0.7841802838812547,0.8398881213706101,0.8398881213706101
398,0.3983983983983984,0.8720424326047728,0.9576540508761969,0.7838876837354,0.8400744947253341,0.8400744947253341
399,0.3993993993993994,0.8719783182769296,0.9575506689148409,0.7835949732703054,0.8402607726739068,0.8402607726739068
400,0.40040040040040037,0.87218540804833,0.9574927790651329,0.7833021523794995,0.8404627774221453,0.8404627774221453
401,0.4014014014014014,0.8719482475877915,0.9574402793724252,0.7830663371332641,0.8407060389041677,0.8407060389041677
402,0.4024024024024024,0.8718852990656477,0.9573997618074079,0.7828803465569042,0.8409491377323387,0.8409491377323387
403,0.4034034034034034,0.8719697211383505,0.9573592413252673,0.7826943114703316,0.840259302222567,0.840259302222567
404,0.4044044044044044,0.8721855247740959,0.9574538291598819,0.7825082318462495,0.8404633288881888,0.8404633288881888
405,0.40540540540540543,0.8721801447095467,0.957472146171023,0.7823221076573387,0.8408292870960616,0.8408292870960616
406,0.4064064064064064,0.8722005177051437,0.9574904624750487,0.782135938876257,0.8416482391447865,0.8416482391447865
407,0.4074074074074074,0.8722732303858429,0.9575087780719994,0.7817276123931141,0.8415471444261649,0.8415471444261649
408,0.4084084084084084,0.8721059752794893,0.9575270929619166,0.7811337517602459,0.8414226095796381,0.8414226095796381
409,0.4094094094094094,0.8722213416572798,0.9575031407261154,0.7796131404659183,0.8418056633892497,0.8418056633892497
410,0.41041041041041043,0.8723708732718772,0.9574429607919164,0.777611938831411,0.8419293372387846,0.8419293372387846
411,0.4114114114114114,0.8727486391363296,0.9574880494147143,0.7774067464646293,0.8420529686546576,0.8420529686546576
412,0.4124124124124124,0.8726203992549584,0.9575440037355147,0.775782183494967,0.8421765576587036,0.8421765576587036
