          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3349,                 2.5573,                 1.3752,                0.63441,                0.52282,                0.59851,                0.44163,                 1.0625,                 1.1098,                 1.1304,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 1.3842,                 2.2812,                 1.4066,                0.67295,                0.51879,                0.61493,                0.45005,                 1.0675,                 1.0984,                 1.1323,             5.2738e-05,             5.2738e-05,             5.2738e-05
                      3,                  1.314,                 2.0706,                 1.3773,                0.68695,                0.52337,                0.61539,                0.45376,                 1.0731,                  1.107,                 1.1368,             4.0249e-05,             4.0249e-05,             4.0249e-05
