          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8983,                 1.7561,                 2.3333,                0.38635,                0.72105,                0.37995,                0.21779,                 1.3887,                  3.471,                 1.9502,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.8279,                 1.6728,                 2.2771,                 0.5943,                0.72632,                0.63193,                0.34904,                 1.3558,                 3.8502,                 1.9219,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.7705,                 1.6941,                 2.2555,                0.75057,                0.79474,                0.82619,                0.48977,                 1.4142,                 3.4846,                 1.9428,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.7517,                  1.597,                 2.2334,                0.73414,                0.71579,                0.78855,                0.45001,                 1.5535,                 2.9238,                 2.1521,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.7419,                 1.6543,                 2.1605,                0.83609,                0.67895,                0.81468,                0.42447,                 1.7573,                 2.5157,                 2.4556,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.7965,                  1.592,                 2.2477,                 0.8402,                0.83684,                0.91537,                0.64778,                 1.1772,                 1.8954,                  1.666,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.6466,                  1.559,                 2.1619,                0.92673,                0.83684,                0.93354,                0.64469,                 1.1497,                 1.6727,                 1.6625,               0.001604,               0.001604,               0.001604
                     42,                 1.6761,                 1.5356,                 2.1435,                0.90144,                0.80526,                 0.9006,                0.57536,                 1.3569,                  1.709,                 1.8557,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.6675,                 1.4427,                 2.1587,                0.74321,                0.82632,                0.86421,                 0.5959,                 1.1668,                 1.9149,                 1.6969,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.5305,                 1.4302,                 2.0571,                0.83412,                0.84691,                0.91724,                0.56399,                 1.4193,                 1.3793,                 1.8891,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.6582,                  1.471,                 2.1396,                0.83992,                0.81579,                 0.9003,                0.56185,                 1.3676,                 1.5557,                 1.8393,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.5736,                 1.4243,                 2.0922,                0.91619,                0.83684,                0.94022,                0.64626,                 1.1667,                 1.3782,                 1.6865,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.6276,                 1.4679,                 2.0763,                0.53672,                    0.6,                0.49014,                0.22152,                  1.821,                 2.9002,                 2.2909,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.6971,                 1.5055,                 2.2218,                0.85689,                0.83158,                0.86921,                0.64735,                 1.0631,                   1.59,                 1.5752,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.6545,                 1.5055,                  2.083,                0.94236,                0.75263,                 0.9198,                0.60878,                 1.2476,                 1.4558,                 1.7353,              0.0015248,              0.0015248,              0.0015248
