          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3351,                 0.7963,                 1.2037,                0.86445,                0.78942,                0.84955,                0.43588,                 1.5655,                0.88243,                 1.1979,               0.008317,               0.008317,               0.008317
                     36,                 1.3285,                0.79071,                 1.1971,                 0.8397,                0.79622,                0.83688,                0.42878,                  1.498,                0.87454,                 1.1704,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3257,                0.79425,                 1.1927,                0.86014,                0.80519,                0.84992,                0.43597,                 1.5434,                0.88162,                 1.1832,               0.008218,               0.008218,               0.008218
                     38,                 1.3216,                0.78963,                 1.1912,                0.83141,                0.80198,                0.84654,                0.44164,                 1.5398,                0.87712,                 1.1816,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3184,                0.78556,                 1.1915,                0.82144,                0.78574,                0.84476,                0.44398,                 1.5251,                0.87237,                 1.1739,               0.008119,               0.008119,               0.008119
                     40,                  1.313,                0.78613,                 1.1922,                0.83661,                0.79742,                0.84565,                0.43417,                 1.5148,                0.88285,                 1.1722,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3145,                0.77768,                 1.1849,                0.84558,                0.79978,                0.85067,                0.44649,                    1.5,                0.86031,                 1.1683,                0.00802,                0.00802,                0.00802
                     42,                 1.3105,                0.77837,                 1.1883,                0.86578,                0.80843,                0.85913,                 0.4507,                 1.4915,                0.85699,                 1.1653,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3099,                0.78092,                 1.1857,                0.87055,                0.79746,                0.85183,                0.44443,                 1.5023,                0.86477,                 1.1668,               0.007921,               0.007921,               0.007921
                     44,                 1.3089,                0.78009,                 1.1811,                0.83019,                0.80598,                0.84782,                0.44524,                 1.4797,                0.86241,                 1.1614,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2974,                0.77132,                 1.1812,                0.84359,                0.81353,                0.84008,                0.44008,                 1.4937,                0.85796,                 1.1642,               0.007822,               0.007822,               0.007822
                     46,                 1.3014,                0.76783,                 1.1839,                0.82093,                0.80942,                0.82832,                0.43084,                 1.4825,                0.85028,                 1.1615,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2988,                0.76984,                 1.1862,                0.84581,                0.82076,                0.85787,                0.44251,                 1.4855,                0.85242,                 1.1649,               0.007723,               0.007723,               0.007723
                     48,                 1.2986,                0.76941,                 1.1813,                0.84503,                0.81199,                0.85745,                0.44473,                 1.4822,                0.84594,                 1.1598,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.2996,                0.77582,                 1.1817,                0.84669,                 0.8029,                 0.8501,                0.44403,                  1.472,                0.84165,                 1.1552,               0.007624,               0.007624,               0.007624
                     50,                 1.2884,                0.76343,                 1.1738,                0.86157,                0.81718,                0.85978,                0.44751,                 1.4688,                0.83847,                 1.1505,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.2928,                 0.7628,                 1.1762,                 0.8499,                0.82576,                0.84939,                0.44156,                 1.4645,                0.83725,                 1.1514,               0.007525,               0.007525,               0.007525
                     52,                 1.2884,                0.75995,                 1.1762,                0.85245,                 0.8253,                0.86049,                0.45047,                 1.4565,                0.83236,                 1.1486,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.2864,                0.75737,                 1.1733,                0.85515,                0.82022,                0.85175,                0.45192,                 1.4441,                0.83647,                 1.1441,               0.007426,               0.007426,               0.007426
                     54,                 1.2884,                0.76264,                 1.1788,                0.86767,                0.82047,                0.86009,                0.45433,                 1.4544,                0.83082,                 1.1462,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2849,                0.76094,                 1.1765,                0.84999,                0.82623,                0.85947,                0.45148,                 1.4631,                0.83256,                  1.148,               0.007327,               0.007327,               0.007327
                     56,                 1.2737,                0.75066,                 1.1679,                0.86808,                 0.8189,                0.86542,                0.45523,                 1.4565,                0.82222,                 1.1466,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2885,                 0.7627,                 1.1708,                 0.8677,                0.80661,                0.86315,                0.45838,                 1.4387,                0.82536,                  1.142,               0.007228,               0.007228,               0.007228
                     58,                 1.2798,                0.75422,                 1.1738,                0.84759,                0.82577,                0.85921,                0.45606,                 1.4377,                0.82186,                  1.141,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2771,                0.75796,                 1.1735,                0.85488,                0.81463,                0.86387,                0.45995,                 1.4342,                0.82479,                 1.1382,               0.007129,               0.007129,               0.007129
                     60,                 1.2784,                0.75052,                   1.17,                0.84571,                0.82065,                0.85635,                 0.4539,                 1.4321,                0.82255,                 1.1378,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2781,                 0.7522,                 1.1693,                0.86305,                0.81481,                0.86715,                0.45766,                 1.4339,                0.82121,                 1.1385,                0.00703,                0.00703,                0.00703
                     62,                  1.277,                0.75127,                 1.1715,                 0.8644,                0.81637,                0.86857,                 0.4586,                 1.4367,                0.82543,                 1.1399,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2773,                0.75297,                 1.1786,                 0.8559,                0.81905,                0.86891,                0.45676,                 1.4342,                0.82201,                 1.1402,               0.006931,               0.006931,               0.006931
                     64,                 1.2693,                0.75113,                  1.165,                0.85294,                0.81473,                0.86463,                 0.4594,                 1.4274,                0.82314,                 1.1371,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2677,                0.75185,                 1.1618,                0.86784,                0.80977,                0.86655,                0.46214,                 1.4255,                0.82028,                 1.1364,               0.006832,               0.006832,               0.006832
                     66,                 1.2722,                 0.7488,                 1.1657,                0.86999,                0.81047,                0.86502,                0.46203,                 1.4217,                0.81727,                 1.1342,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.2662,                0.75084,                 1.1635,                 0.8643,                0.82128,                0.86658,                0.46293,                 1.4241,                0.81475,                 1.1362,               0.006733,               0.006733,               0.006733
                     68,                 1.2643,                0.74829,                 1.1674,                0.87323,                0.82163,                0.86875,                0.46396,                 1.4219,                 0.8117,                 1.1348,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2642,                0.74312,                 1.1614,                0.88856,                0.81318,                0.86995,                0.46442,                 1.4262,                0.81409,                  1.135,               0.006634,               0.006634,               0.006634
                     70,                 1.2576,                0.74239,                 1.1679,                 0.8811,                0.82268,                0.87436,                0.46469,                 1.4258,                0.81519,                  1.135,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2634,                0.74875,                 1.1646,                0.87303,                0.82701,                0.87488,                0.46506,                 1.4255,                0.81364,                 1.1344,               0.006535,               0.006535,               0.006535
                     72,                 1.2527,                0.74388,                 1.1644,                0.87674,                0.81749,                0.87237,                0.46219,                  1.431,                0.81513,                 1.1366,              0.0064855,              0.0064855,              0.0064855
