,px,human,elephant,giraffe,unknown,all
640,0.6406406406406406,0.7513241606372038,0.9101911855277098,0.19938330205694038,0.46858198983614163,0.46858198983614163
641,0.6416416416416416,0.7512433723472538,0.9093989120761374,0.1980088908901667,0.4677990424304704,0.4677990424304704
642,0.6426426426426426,0.7494241364656491,0.9092491591433883,0.19660292420369205,0.462394669138467,0.462394669138467
643,0.6436436436436437,0.7493160884070306,0.9086843300732769,0.19476429275509038,0.46134211659609314,0.46134211659609314
644,0.6446446446446447,0.7468474734685728,0.9084154136649089,0.18506873699992282,0.45735417591988536,0.45735417591988536
645,0.6456456456456456,0.74676610497347,0.9076197820622076,0.18367247677827242,0.4565597259926083,0.4565597259926083
646,0.6466466466466466,0.7437548031568085,0.9072472159995463,0.18227401673335858,0.4495293107922366,0.4495293107922366
647,0.6476476476476476,0.7436730160054238,0.9063382125222035,0.1808734606587938,0.448726780989841,0.448726780989841
648,0.6486486486486487,0.7414279062459864,0.9055577594637102,0.17364690384915832,0.44301575996023007,0.44301575996023007
649,0.6496496496496497,0.7392385472179182,0.9044977853547208,0.16910609643548716,0.4404181458451362,0.4404181458451362
650,0.6506506506506506,0.7391561541806588,0.9038595127291991,0.16768508729762738,0.43960613616222655,0.43960613616222655
651,0.6516516516516516,0.7364284210006233,0.9033707520568661,0.1606870501169062,0.4356131808582258,0.4356131808582258
652,0.6526526526526526,0.736345643515627,0.9025851808896265,0.1592529452022514,0.43479616068216853,0.43479616068216853
653,0.6536536536536537,0.7338258027290625,0.9022083390289038,0.15202965604206783,0.4327539012977728,0.4327539012977728
654,0.6546546546546547,0.7337149752685266,0.9013831745693699,0.15009905717831024,0.4330557492767907,0.4330557492767907
655,0.6556556556556556,0.7321665723658923,0.9003495278702538,0.14574807918202434,0.4307776951557937,0.4307776951557937
656,0.6566566566566566,0.732083235652881,0.8996718798289388,0.1442907083117372,0.4299545670591985,0.4299545670591985
657,0.6576576576576576,0.7287131418916223,0.8987472599133315,0.1366622233898871,0.4224150525184013,0.4224150525184013
