          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1483,                 3.3882,                 4.2797,                0.00762,                0.96316,                0.03065,                0.01167,                 3.2646,                 3.4367,                  4.159,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.1267,                 3.3579,                 4.2866,                0.00762,                0.96316,                0.02949,                0.01036,                 3.2652,                 3.4365,                 4.1587,             5.9703e-05,             5.9703e-05,             5.9703e-05
                      3,                 3.1173,                 3.4138,                 4.2488,                0.00762,                0.96316,                0.03065,                0.01166,                 3.2661,                 3.4358,                 4.1583,              9.901e-05,              9.901e-05,              9.901e-05
                      4,                 3.0836,                 3.4569,                 4.2285,                0.00746,                0.94211,                0.03022,                0.01021,                  3.267,                 3.4272,                 4.1581,             0.00013792,             0.00013792,             0.00013792
                      5,                 3.2668,                 3.4104,                 4.1697,                0.00746,                0.94211,                0.03174,                0.01094,                 3.2656,                 3.4171,                 4.1572,             0.00017644,             0.00017644,             0.00017644
                      6,                 3.2239,                  3.343,                 4.1882,                0.00746,                0.94211,                0.04327,                0.01248,                 3.2642,                 3.4101,                 4.1555,             0.00021456,             0.00021456,             0.00021456
                      7,                 3.4416,                 3.2859,                 4.1823,                0.00746,                0.94211,                0.03853,                0.01172,                  3.261,                 3.4696,                 4.1539,             0.00025228,             0.00025228,             0.00025228
                      8,                 3.2529,                 3.2502,                 4.1433,                0.00733,                0.92632,                0.10295,                0.03055,                  3.261,                 3.4432,                 4.1515,              0.0002896,              0.0002896,              0.0002896
                      9,                 3.0671,                 3.4466,                 4.1139,                0.00737,                0.93158,                0.04286,                0.01268,                 3.2602,                 3.4112,                 4.1493,             0.00032654,             0.00032654,             0.00032654
                     10,                 3.1939,                 3.0898,                 4.0852,                0.00737,                0.93158,                0.04329,                0.01281,                 3.2567,                 3.4633,                 4.1464,             0.00036307,             0.00036307,             0.00036307
                     11,                 3.0569,                 3.0278,                 4.0416,                0.00737,                0.93158,                0.03506,                0.01173,                 3.2559,                 3.4456,                 4.1438,             0.00039921,             0.00039921,             0.00039921
                     12,                 3.1864,                 3.0539,                 4.0126,                0.00733,                0.92632,                0.04509,                0.01359,                 3.2518,                 3.4202,                 4.1413,             0.00043495,             0.00043495,             0.00043495
                     13,                 3.0865,                 2.9763,                 3.9538,                0.00742,                0.93684,                0.03911,                0.01303,                 3.2521,                 3.4522,                 4.1429,              0.0004703,              0.0004703,              0.0004703
                     14,                 3.2095,                 3.0198,                 3.9568,                0.00779,                0.98421,                0.05947,                0.01869,                 3.2584,                 3.4624,                 4.1527,             0.00050525,             0.00050525,             0.00050525
                     15,                 2.9995,                 2.9426,                 3.8789,                0.00779,                0.98421,                0.08993,                0.02628,                  3.282,                 3.4653,                 4.1811,             0.00053981,             0.00053981,             0.00053981
                     16,                 3.0413,                 2.8935,                 3.8716,                0.00775,                0.97895,                0.09797,                0.02909,                 3.3378,                 3.5778,                 4.2343,             0.00057397,             0.00057397,             0.00057397
                     17,                 3.1613,                 3.1841,                 3.9362,                0.01522,                0.94737,                0.09627,                0.02901,                 3.4005,                 3.6933,                 4.3008,             0.00060773,             0.00060773,             0.00060773
                     18,                 2.9058,                  2.986,                 3.8339,                0.00775,                0.97895,                0.09331,                0.02805,                 3.4623,                 3.6937,                 4.3742,              0.0006411,              0.0006411,              0.0006411
                     19,                 3.1109,                 2.9503,                 3.7762,                0.01963,                0.91053,                0.09538,                0.02727,                  3.628,                  3.544,                 4.6116,             0.00067407,             0.00067407,             0.00067407
                     20,                 2.8743,                 2.8558,                 3.7422,                0.02123,                    0.8,                 0.0346,                0.00988,                 3.6247,                 3.4503,                 4.8693,             0.00070664,             0.00070664,             0.00070664
                     21,                 2.8476,                  2.798,                 3.6751,                0.00783,                0.92105,                0.06403,                0.01481,                 3.4137,                 3.2059,                 5.2332,             0.00073882,             0.00073882,             0.00073882
                     22,                 2.7901,                 2.7628,                 3.6021,                0.06292,                    0.4,                0.07871,                0.01919,                  3.354,                  3.395,                 5.3212,              0.0007706,              0.0007706,              0.0007706
                     23,                 2.7519,                 2.8438,                 3.6173,                0.08937,                0.27895,                0.05973,                0.01476,                 3.3233,                 3.9156,                 5.2773,             0.00080199,             0.00080199,             0.00080199
                     24,                 2.8579,                 2.7989,                 3.6081,                0.02817,                0.48421,                0.02383,                0.00688,                 3.1588,                 24.073,                 5.9584,             0.00083298,             0.00083298,             0.00083298
                     25,                  2.745,                  2.777,                 3.5594,                0.01556,                0.54737,                0.01373,                 0.0028,                 4.1413,                    inf,                 8.7226,             0.00086358,             0.00086358,             0.00086358
                     26,                 2.6906,                 2.8425,                 3.4781,                0.01884,                    0.5,                0.01715,                0.00359,                 4.8555,                    inf,                 14.597,             0.00089377,             0.00089377,             0.00089377
                     27,                 2.7693,                 2.8079,                 3.4331,                0.02352,                0.58421,                0.02571,                0.00533,                 4.7454,                    inf,                  16.49,             0.00092358,             0.00092358,             0.00092358
                     28,                 2.8249,                 2.7557,                 3.4174,                0.01272,                0.45789,                0.01481,                0.00347,                 5.0596,                    inf,                 16.422,             0.00095298,             0.00095298,             0.00095298
                     29,                 2.7996,                 2.6294,                  3.409,                0.02535,                0.84737,                0.03188,                0.01175,                 4.0799,                    inf,                 16.015,               0.000982,               0.000982,               0.000982
                     30,                 2.7379,                   2.65,                 3.3157,                0.02535,                0.84737,                0.03188,                0.01175,                 4.0799,                    inf,                 16.015,              0.0010106,              0.0010106,              0.0010106
                     31,                  2.854,                 2.6662,                 3.4213,                  0.029,                0.86316,                0.03563,                0.01512,                 3.7597,                    inf,                  14.12,              0.0010388,              0.0010388,              0.0010388
                     32,                 2.7607,                 2.6933,                 3.3944,                0.09921,                0.65789,                0.08909,                0.03379,                 3.3702,                 85.931,                  7.649,              0.0010667,              0.0010667,              0.0010667
