                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3854,                0.65604,                 1.1886,                0.82642,                0.78392,                0.82261,                0.42779,                 1.6094,                0.75305,                 1.1762,               0.008317,               0.008317,               0.008317
                     37,                 1.3931,                0.65987,                 1.1916,                0.83417,                0.80789,                0.84059,                0.44798,                 1.5743,                 0.7415,                 1.1616,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.3841,                0.65358,                 1.1872,                0.87397,                0.79336,                0.85946,                0.46089,                 1.5789,                0.74596,                 1.1602,               0.008218,               0.008218,               0.008218
                     39,                 1.3801,                0.64895,                 1.1902,                0.87031,                0.80193,                0.85205,                0.45212,                 1.5697,                0.73003,                 1.1572,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.3682,                0.65049,                 1.1857,                 0.8114,                0.80333,                 0.8403,                0.44388,                 1.5532,                0.73214,                 1.1587,               0.008119,               0.008119,               0.008119
                     41,                 1.3704,                0.64937,                 1.1799,                0.82348,                0.79115,                0.84785,                0.44737,                 1.5763,                0.73297,                 1.1597,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.3673,                0.64836,                 1.1763,                 0.8469,                0.82416,                0.84737,                0.44562,                 1.5896,                0.72042,                 1.1629,                0.00802,                0.00802,                0.00802
                     43,                 1.3707,                0.64936,                 1.1815,                 0.8564,                0.81382,                0.85306,                0.44984,                 1.5641,                0.72038,                 1.1598,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.3554,                0.63796,                 1.1736,                0.86141,                0.82772,                0.86771,                0.45653,                 1.5703,                0.71947,                 1.1593,               0.007921,               0.007921,               0.007921
                     45,                 1.3604,                 0.6365,                 1.1753,                0.86262,                0.82431,                0.86236,                0.46118,                 1.5655,                0.71378,                 1.1605,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.3592,                0.64436,                 1.1783,                0.86848,                 0.8217,                0.86734,                0.46322,                 1.5493,                0.70379,                 1.1537,               0.007822,               0.007822,               0.007822
                     47,                 1.3586,                 0.6391,                 1.1754,                0.86591,                 0.8233,                0.86907,                0.46764,                  1.532,                 0.7078,                 1.1462,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.3529,                0.63593,                 1.1747,                0.87062,                0.82659,                0.86782,                0.46596,                 1.5425,                0.71086,                 1.1436,               0.007723,               0.007723,               0.007723
                     49,                 1.3483,                0.63756,                   1.17,                  0.866,                0.82715,                 0.8606,                0.45896,                 1.5271,                0.71378,                 1.1443,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.3463,                0.63175,                 1.1745,                0.86467,                0.82266,                0.86193,                0.46267,                 1.5279,                0.71309,                 1.1422,               0.007624,               0.007624,               0.007624
                     51,                 1.3422,                0.62855,                 1.1704,                0.86487,                0.81825,                0.86325,                0.46245,                  1.513,                0.70623,                 1.1371,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.343,                 0.6305,                 1.1745,                 0.8624,                0.82285,                0.86667,                0.47134,                 1.5149,                0.69749,                 1.1397,               0.007525,               0.007525,               0.007525
                     53,                 1.3393,                0.62463,                  1.162,                0.88149,                0.81798,                0.87348,                0.47207,                  1.526,                0.70683,                 1.1409,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.3428,                0.63395,                 1.1682,                 0.8801,                 0.8247,                0.86845,                0.46895,                 1.5232,                 0.6975,                 1.1426,               0.007426,               0.007426,               0.007426
                     55,                 1.3361,                0.62633,                 1.1691,                 0.8909,                0.83182,                0.87654,                0.46763,                 1.5126,                0.69295,                 1.1372,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.3332,                0.62763,                 1.1697,                0.86639,                0.82372,                0.86466,                0.46962,                 1.5089,                0.69071,                 1.1367,               0.007327,               0.007327,               0.007327
                     57,                 1.3342,                0.62601,                 1.1662,                0.85797,                0.82719,                 0.8663,                0.46837,                 1.5144,                0.69018,                 1.1393,              0.0072775,              0.0072775,              0.0072775
                     58,                  1.328,                0.61803,                 1.1673,                0.84298,                0.82224,                0.85783,                0.46608,                 1.5099,                0.68908,                 1.1352,               0.007228,               0.007228,               0.007228
                     59,                 1.3225,                0.61816,                 1.1567,                0.86862,                0.82799,                 0.8648,                0.46806,                 1.5147,                0.68785,                 1.1374,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.3238,                0.61911,                 1.1636,                0.84713,                0.83189,                0.85983,                0.46772,                  1.507,                0.69256,                 1.1336,               0.007129,               0.007129,               0.007129
                     61,                 1.3277,                0.62347,                 1.1623,                0.84232,                0.82153,                 0.8454,                0.45944,                 1.4964,                0.69269,                 1.1335,              0.0070795,              0.0070795,              0.0070795
                     62,                  1.321,                0.62177,                 1.1592,                0.86303,                0.84016,                0.86922,                 0.4729,                 1.4897,                0.68983,                 1.1292,                0.00703,                0.00703,                0.00703
                     63,                 1.3196,                0.61419,                 1.1608,                0.87638,                0.83053,                0.86956,                0.47454,                 1.4914,                0.68572,                 1.1317,              0.0069805,              0.0069805,              0.0069805
                     64,                  1.322,                0.62471,                 1.1624,                 0.8726,                0.83148,                0.87221,                0.47903,                  1.493,                0.68877,                  1.131,               0.006931,               0.006931,               0.006931
                     65,                 1.3072,                0.61146,                  1.152,                0.87152,                0.82422,                0.86538,                0.47426,                 1.4865,                0.68641,                 1.1287,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.3161,                  0.613,                 1.1597,                0.88063,                0.82549,                0.86549,                0.47374,                 1.4816,                0.68606,                 1.1277,               0.006832,               0.006832,               0.006832
                     67,                 1.3134,                 0.6176,                 1.1549,                0.87514,                0.82703,                0.87021,                0.47503,                 1.4858,                0.68409,                 1.1293,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.3163,                0.61484,                 1.1569,                0.87738,                0.82383,                0.86746,                0.47351,                  1.487,                0.68645,                 1.1275,               0.006733,               0.006733,               0.006733
                     69,                 1.3165,                 0.6191,                 1.1531,                0.87182,                0.81791,                0.86607,                0.47585,                 1.4817,                0.68638,                 1.1274,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3163,                0.61726,                 1.1601,                0.88292,                0.82709,                0.87233,                 0.4777,                  1.479,                0.68087,                 1.1279,               0.006634,               0.006634,               0.006634
                     71,                 1.3116,                0.61091,                 1.1567,                0.88896,                0.83649,                0.87781,                0.48151,                 1.4714,                0.68346,                 1.1242,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3063,                0.61273,                 1.1525,                0.88056,                0.83555,                0.87401,                0.48241,                  1.472,                0.68529,                 1.1232,               0.006535,               0.006535,               0.006535
                     73,                 1.3031,                 0.6089,                 1.1468,                0.87687,                0.83401,                0.87053,                0.48072,                 1.4715,                0.68197,                 1.1231,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3086,                0.61233,                 1.1564,                0.88753,                 0.8349,                0.87869,                0.48282,                 1.4705,                0.68091,                 1.1223,               0.006436,               0.006436,               0.006436
                     75,                 1.3025,                0.60718,                 1.1516,                0.89038,                0.83442,                 0.8792,                0.48037,                 1.4739,                0.67881,                 1.1231,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.2991,                0.60697,                 1.1491,                0.89136,                0.83131,                0.88039,                0.48222,                 1.4707,                0.68086,                 1.1219,               0.006337,               0.006337,               0.006337
                     77,                  1.299,                0.60217,                 1.1495,                0.89462,                0.83177,                0.88138,                0.48259,                 1.4687,                0.67798,                 1.1217,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.2964,                0.60362,                 1.1456,                  0.891,                0.82836,                0.87678,                0.48316,                 1.4647,                 0.6755,                  1.119,               0.006238,               0.006238,               0.006238
                     79,                 1.2945,                0.60457,                 1.1504,                0.89561,                0.82745,                0.88062,                0.48338,                 1.4686,                0.67415,                 1.1194,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.2983,                0.60251,                 1.1464,                 0.8933,                0.82297,                0.87927,                 0.4817,                 1.4684,                0.67398,                 1.1194,               0.006139,               0.006139,               0.006139
